,,,,,,,,,,,,,,,,,,,,,,,,,Areas and Densities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blocks and Roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,,-,-,,-,,,,-,-,-,-,,-,-,-,-,-,-,,,POPULATION,,,,,URBAN EXTENT,,,,,,,,,,,,,,,,,DENSITY,,,,,,,,,,ROADS,,,,,,,,,,,,,,ARTERIAL ROADS,,,,,,,,,,,,,,,,,,BLOCKS AND PLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,,-,-,,-,,,,-,-,-,-,,-,-,-,-,-,-,,,Population,,,Avg. Annual % Change,,Urban Composition,,,,,,,,,,,,Avg. Annual % Change,,Urban Extent Actuals,,,Built-up Area,,,,,Urban Extent,,,,,Share of Built-up Area Occupied by Roads & Boulevards,,Average Street Width,,Street Width Composition,,,,,,,,,,Density of Arterial Roads,,,,,,Share of area within walking distance of arterial road,,,,,,Beeline distance to arterial roads,,,,,,Average Block Size,,Average Plot Size,,,,Composition of Residential Uses,,,,,,,,Composition of Added Area,,,,,,,,,,,,,,,,,,,,,,
,-,-,Areas and Densities,,,Blocks and Roads,,,Historical Data,,,-,-,-,-,,-,-,-,-,-,-,,,Population,,,Population,,Urban,,,Suburban,,,Rural,,,Open space,,,Total,,T1,T2,T3,Built-up Area,,,Avg. Annual % Change,,Urban Extent,,,Avg. Annual % Change,,Share of Built-up Area Occupied by Roads & Boulevards,,Average Street Width,,<4m,,4-8m,,8-12m,,12-16m,,>16m,,All,,Wide,,Narrow,,All,,Wide,,Narrow,,All,,Wide,,Narrow,,Average Block Size,,Average Plot Size in Informal Land Subdivisions,,Average Plot Size in Formal Land Subdivisions,,Share of Residential in Atomistic Settlements,,Share of Residential in Informal Subdivisions,,Share of Residential in Formal Subdivisions,,Share of Residential in Housing Projects,,Total added area (ha),,,,"added area, infill (ha)",,,,"added area, Extension (ha)",,,,"added area, Leapfrog (ha)",,,,Inclusion (ha),,,,,,
City Code,Latitude,Longitude,Maps,Metrics,GIS,Maps,Metrics,GIS,Maps,Metrics,GIS,Image,Flag,Source,Country,Region,Population,Extent,Density,T1,T2,T3,t2-t1,t3-t1,T1,T2,T3,T1-T2,T2-T3,T1,T2,T3,T1,T2,T3,T1,T2,T3,T1,T2,T3,T1-T2,T2-T3,,,,T1,T2,T3,T1-T2,T2-T3,T1,T2,T3,T1-T2,T2-T3,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre-1990,1990-2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,T1-T2,T2-T3,Ratio T1-T2/T2-T3,annual change T2-T3 (%),T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,,,CIty COd Dane
WORLD,-,-,-,,-,,,,,,,-,-,WORLD,-,-,-,-,-,-,-,-,,,-,-,-,4.50%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.90%,4.30%,-,-,-,171.9,133,106,-2.10%,-1.60%,103,86,72,-1.50%,-1.50%,0.22,0.21,9.01,7.43,0.2,0.29,0.37,0.41,0.21,0.16,0.1,0.07,0.13,0.08,2.01,1.32,1.39,0.82,0.63,0.5,0.93,0.82,0.84,0.68,0.54,0.5,224,423,358,715,1031,1286,3.6,5.2,89,160,331,284,22%,31%,14%,27%,52%,28%,13%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
