City Code,Category,Latitude,Longitude,PDF,GIS,Source,REGION,Country,Images,Population,City Size,GDP,Urban Extent,,,Urban layout,,,,Density Change,,Fragmentation,,Population Growth,,Urban Expansion,,Average block size,,Gridded/Not Gridded,,Share of built-up area occupied by roads and boulevards,,Share of Residential Planned Before Development,,Share of streets less than 4m wide,,Share within walking distance of an arterial road,,Suburban Built Up,,,Urban Built Up,,
,,,,,,,,,,,,,T1,T2,T3,Arterial Roads,Medians,Locales,Blocks,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,T1,T2,T3,T1,T2,T3
N/A,WORLD,N/A,N/A,N/A,N/A,WORLD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,%,%,%,%,%,%,%,%,##,##,%,%,%,%,%,%,%,%,%,%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,Sub-Saharan Africa (SSA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.5%,-1.0%,-0.4%,-0.5%,2.8%,2.1%,4.7%,3.5%,3.4,4.4,%,%,22%,16%,72%,53%,18%,32%,72%,48%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,South and Central Asia (SCA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.5%,-1.5%,-0.5%,0.1%,3.5%,2.2%,6.5%,3.6%,3.7,4.5,%,%,21%,21%,70%,55%,19%,30%,77%,62%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,Western Asia and North Africa (WANA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.7%,-1.3%,-0.7%,-0.3%,3.1%,2.6%,5.4%,4.2%,4.2,4.3,%,%,22%,25%,66%,54%,20%,23%,87%,61%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,East Asia and the Pacific (EAP),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.7%,-1.7%,-0.7%,-0.3%,5.2%,3.8%,7.6%,5.7%,3.6,6.0,%,%,21%,21%,73%,43%,19%,37%,91%,69%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,Europe and Japan (E&J),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4%,-1.7%,-0.8%,0.0%,5.3%,2.8%,5.7%,4.5%,3.5,5.4,%,%,21%,20%,65%,62%,19%,31%,73%,42%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,Land-Rich Developed Countries (LRDC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.4%,-1.7%,-1.0%,0.0%,4.0%,3.2%,7.3%,4.9%,3.7,7.3,%,%,22%,20%,72%,73%,20%,15%,83%,58%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,Southeast Asia (SEA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.7%,-1.4%,-0.4%,-0.2%,3.5%,2.7%,4.6%,4.2%,3.7,5.9,%,%,20%,18%,67%,40%,17%,30%,66%,45%,##,##,##,##,##,##
N/A,REGIONS,N/A,N/A,N/A,N/A,Latin America and the Caribbean (LAC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.1%,-1.2%,-0.5%,-0.2%,4.4%,2.6%,7.0%,4.0%,4.0,4.5,%,%,21%,23%,67%,76%,26%,16%,84%,53%,##,##,##,##,##,##
N/A,CITY SIZE,N/A,N/A,N/A,N/A,"100,000 - 427,707 (1)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.9%,-1.5%,-0.6%,-0.6%,3.8%,2.6%,6.3%,4.4%,3.5,5.6,%,%,21%,21%,68%,56%,20%,31%,76%,60%,##,##,##,##,##,##
N/A,CITY SIZE,N/A,N/A,N/A,N/A,"427,708 - 1,569,640 (2)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8%,-0.9%,-0.6%,-0.6%,5.3%,3.2%,6.7%,4.3%,3.7,5.6,%,%,21%,20%,70%,55%,19%,29%,80%,56%,##,##,##,##,##,##
N/A,CITY SIZE,N/A,N/A,N/A,N/A,"1,569,640 - 5,17,232 (3)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.8%,-1.8%,-0.7%,-0.7%,4.6%,2.6%,7.2%,4.6%,3.8,5.1,%,%,21%,20%,69%,60%,21%,25%,81%,51%,##,##,##,##,##,##
N/A,CITY SIZE,N/A,N/A,N/A,N/A,"> 5,718,2323 (4)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.3%,-1.7%,-0.6%,-0.6%,3.0%,2.9%,4.9%,4.5%,4.0,4.8,%,%,21%,21%,69%,55%,19%,29%,84%,57%,##,##,##,##,##,##
N/A,CITY SIZE,N/A,N/A,N/A,N/A,N/A (5),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.3%,-1.7%,-0.6%,-0.6%,3.0%,2.9%,4.9%,4.5%,4.0,4.8,%,%,21%,21%,69%,55%,19%,29%,84%,57%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,$3000<,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.0%,-1.4%,-0.6%,-0.3%,3.0%,2.2%,5.7%,3.8%,3.7,5.3,%,%,21%,20%,69%,57%,20%,28%,80%,56%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,"$3,000-$8,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.0%,-1.1%,-0.4%,-0.1%,3.8%,2.6%,6.2%,3.8%,3.7,5.9,%,%,21%,21%,66%,62%,21%,25%,81%,52%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,"$8,000-$20,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.5%,-1.7%,-0.8%,-0.3%,4.5%,3.1%,6.7%,5.1%,3.6,5.4,%,%,21%,19%,70%,54%,20%,30%,81%,59%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,"$20,000+",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.2%,-1.6%,-0.7%,0.0%,4.6%,3.1%,6.5%,4.7%,3.9,4.9,%,%,21%,23%,69%,60%,20%,25%,85%,58%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.2%,-1.6%,-0.7%,0.0%,4.6%,3.1%,6.5%,4.7%,3.9,4.9,%,%,21%,23%,69%,60%,20%,25%,85%,58%,##,##,##,##,##,##
2802,CITY,5.556,-0.1969,File Name,File Name,Accra,Sub-Saharan Africa,,Accra.jpg,"4,429,649",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-5.2%,-1.3%,-2.7%,1.9%,7.2%,4.0%,12.4%,5.3%,1.4,3.9,3%,30%,24%,14%,78%,49%,29%,26%,96%,68%,##,##,##,##,##,##
2644,CITY,9.025,38.7469,File Name,File Name,Addis_Ababa,Sub-Saharan Africa,,Addis Ababa (public domain).jpg,"3,009,130",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.0%,-2.1%,0.0%,-2.1%,3.0%,2.8%,3.1%,4.8%,5.8,3.2,0%,0%,15%,22%,50%,50%,9%,15%,99%,90%,##,##,##,##,##,##
2857,CITY,23.0333,72.6167,File Name,File Name,Ahmedabad,South and Central Asia,,Ahmedabad.jpg,"6,232,952",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.2%,0.2%,-1.7%,-0.8%,2.2%,2.1%,2.0%,1.9%,3.1,4.2,15%,0%,18%,24%,33%,73%,13%,18%,97%,95%,##,##,##,##,##,##
3388,CITY,31.3203,48.6693,File Name,File Name,Ahvaz,South and Central Asia,,Ahvaz.jpg,"1,178,560",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.6%,-0.6%,-1.5%,-0.3%,2.3%,2.5%,2.9%,3.1%,2.4,3.5,0%,0%,23%,23%,74%,65%,37%,20%,96%,91%,##,##,##,##,##,##
2600,CITY,31.1925,29.9046,File Name,File Name,Alexandria,Western Asia and North Africa,,Al Qayrawan.jpg,"4,345,193",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.4%,-0.5%,0.9%,0.0%,1.8%,2.3%,6.2%,2.8%,1.7,5.2,0%,3%,26%,23%,87%,65%,14%,27%,97%,81%,##,##,##,##,##,##
1012,CITY,36.7525,3.042,File Name,File Name,Algiers,Western Asia and North Africa,,Alexandria.jpg,"3,085,561",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.0%,-1.6%,-1.5%,-0.7%,2.7%,2.5%,4.7%,4.0%,3.8,6.7,0%,0%,22%,25%,79%,58%,17%,19%,89%,80%,##,##,##,##,##,##
4653,CITY,30.543,117.0533,File Name,File Name,Al_Qayrawan,Western Asia and North Africa,,Algiers.jpg,"127,570",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.7%,1.3%,-2.3%,-3.8%,2.6%,1.8%,4.4%,0.5%,2.2,2.9,15%,0%,27%,25%,87%,63%,12%,35%,99%,96%,##,##,##,##,##,##
1448,CITY,51.2199,4.4035,File Name,File Name,Anqing,East Asia and the Pacific,,Anqing.jpg,"642,626",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.4%,-4.1%,0.5%,-0.1%,-1.5%,4.5%,2.9%,8.6%,1.9,4.8,18%,0%,16%,25%,78%,47%,21%,35%,92%,85%,##,##,##,##,##,##
1166,CITY,-3.3667,36.6833,File Name,File Name,Antwerpen,Europe and Japan,,Antwerpen.jpg,"1,277,376",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.9%,0.0%,-0.1%,-0.6%,2.2%,1.1%,5.1%,1.1%,4.5,14.7,3%,5%,24%,13%,35%,11%,11%,21%,93%,91%,##,##,##,##,##,##
4618,CITY,46.3497,48.0408,File Name,File Name,Arusha,Sub-Saharan Africa,,Arusha.jpg,"377,169",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.3%,-0.8%,-1.8%,0.2%,6.4%,5.6%,10.8%,6.5%,3.8,5.0,0%,0%,24%,10%,46%,15%,24%,65%,100%,95%,##,##,##,##,##,##
4279,CITY,-36.8667,174.7667,File Name,File Name,Astrakhan,Europe and Japan,,Asthrakhan.jpg,"567,629",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.6%,0.1%,-1.6%,-0.7%,0.7%,0.6%,5.4%,0.5%,7.1,2.8,10%,8%,14%,20%,71%,64%,22%,29%,84%,80%,##,##,##,##,##,##
3965,CITY,10.6507,122.946,File Name,File Name,Auckland,Land-Rich Developed Countries,,Auckland.jpg,"1,300,733",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.1%,1.1%,-0.2%,-1.0%,1.7%,1.8%,0.6%,0.7%,4.8,8.1,5%,0%,21%,19%,65%,70%,21%,20%,93%,92%,##,##,##,##,##,##
4170,CITY,33.3406,44.4009,File Name,File Name,Bacolod,Southeast Asia,,Bacolod.jpg,"443,456",2,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-6.3%,-0.2%,-5.8%,0.0%,4.4%,1.1%,10.7%,1.3%,2.0,2.9,4%,3%,23%,21%,85%,62%,8%,28%,0%,90%,##,##,##,##,##,##
3471,CITY,40.3777,49.892,File Name,File Name,Baghdad,Western Asia and North Africa,,Baghdad.jpg,"5,279,193",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,2.4%,1.2%,-1.9%,-2.6%,3.4%,2.2%,1.0%,0.9%,9.3,4.1,33%,18%,18%,24%,90%,33%,8%,26%,86%,84%,##,##,##,##,##,##
1111,CITY,12.65,-8,File Name,File Name,Baku,Western Asia and North Africa,,Baku.jpg,"1,671,787",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.8%,-0.4%,-0.8%,-1.2%,0.5%,1.3%,3.2%,1.7%,4.2,3.9,14%,8%,26%,18%,71%,53%,23%,18%,90%,84%,##,##,##,##,##,##
3773,CITY,13.722,100.5252,File Name,File Name,Bamako,Sub-Saharan Africa,,Bamako (public domain).jpg,"2,358,106",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.2%,0.7%,-2.0%,-0.2%,10.7%,5.7%,10.9%,5.1%,3.1,1.6,0%,3%,24%,20%,69%,78%,10%,19%,98%,80%,##,##,##,##,##,##
4639,CITY,39.9075,116.3972,File Name,File Name,Bangkok,Southeast Asia,,Bangkok.jpg,"14,011,131",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.4%,-1.6%,-1.0%,-0.6%,3.0%,3.2%,3.5%,4.8%,3.5,5.4,3%,3%,23%,22%,83%,47%,4%,23%,83%,70%,##,##,##,##,##,##
